"sample","name","distribution","size","cpu","real","gc","memory"
10,"filliatre","random",18,1455,1456,497,1201990816
11,"filliatre","random",18,1469,1469,492,1199486320
12,"filliatre","random",18,1436,1437,490,1198901040
13,"filliatre","random",18,1432,1432,490,1200769936
14,"filliatre","random",18,1501,1501,495,1201176928
15,"filliatre","random",18,1440,1440,494,1207379104
16,"filliatre","random",18,1452,1452,498,1200509600
17,"filliatre","random",18,1505,1505,492,1198886816
18,"filliatre","random",18,1451,1451,492,1196788096
19,"filliatre","random",18,1447,1447,490,1203995776
20,"filliatre","random",18,1471,1471,492,1201517376
21,"filliatre","random",18,1468,1468,492,1202433552
22,"filliatre","random",18,1488,1488,490,1200329392
23,"filliatre","random",18,1464,1464,489,1200515552
24,"filliatre","random",18,1475,1475,489,1200732752
25,"filliatre","random",18,1420,1420,484,1198814880
26,"filliatre","random",18,1449,1449,487,1200625792
27,"filliatre","random",18,1491,1491,488,1198008544
28,"filliatre","random",18,1437,1437,488,1200951232
29,"filliatre","random",18,1421,1421,485,1200952528
30,"filliatre","random",18,1435,1436,492,1205948736
31,"filliatre","random",18,1462,1463,487,1200807056
32,"filliatre","random",18,1421,1421,485,1203480352
33,"filliatre","random",18,1452,1452,485,1203715696
34,"filliatre","random",18,1433,1434,488,1202604368
35,"filliatre","random",18,1436,1436,486,1202180032
36,"filliatre","random",18,1428,1428,485,1204194752
37,"filliatre","random",18,1425,1425,486,1205397344
38,"filliatre","random",18,1441,1441,494,1204703648
39,"filliatre","random",18,1441,1441,492,1207364880
40,"filliatre","random",18,1446,1446,492,1199622672
41,"filliatre","random",18,1437,1437,492,1202765904
42,"filliatre","random",18,1430,1430,489,1198056432
43,"filliatre","random",18,1457,1458,494,1204246848
44,"filliatre","random",18,1478,1479,492,1199524672
45,"filliatre","random",18,1455,1455,495,1198941584
46,"filliatre","random",18,1499,1499,494,1201658416
47,"filliatre","random",18,1489,1489,494,1201781840
48,"filliatre","random",18,1499,1499,498,1204522848
49,"filliatre","random",18,1474,1474,493,1202960048
50,"filliatre","random",18,1448,1448,489,1201340800
51,"filliatre","random",18,1431,1431,490,1205799280
52,"filliatre","random",18,1470,1470,490,1202739888
53,"filliatre","random",18,1487,1487,491,1202860416
54,"filliatre","random",18,1443,1443,489,1199115216
55,"filliatre","random",18,1430,1430,488,1206508400
56,"filliatre","random",18,1432,1432,491,1206068944
57,"filliatre","random",18,1428,1428,489,1201938368
58,"filliatre","random",18,1424,1424,487,1199998464
59,"filliatre","random",18,1435,1435,491,1199266912
60,"filliatre","random",18,1471,1471,493,1202343616
61,"filliatre","random",18,1510,1511,496,1199757456
62,"filliatre","random",18,1465,1465,494,1200651216
63,"filliatre","random",18,1478,1478,492,1199362560
64,"filliatre","random",18,1480,1480,493,1202101104
