"sample","name","distribution","size","cpu","real","gc","memory"
82,"okasaki","random",19,4517,4518,1873,2678316000
83,"okasaki","random",19,4497,4497,1869,2684012144
84,"okasaki","random",19,4473,4473,1873,2674263856
85,"okasaki","random",19,4526,4527,1879,2676898624
86,"okasaki","random",19,4574,4575,1884,2677007232
87,"okasaki","random",19,4581,4581,1882,2679797808
88,"okasaki","random",19,4482,4483,1871,2672507824
89,"okasaki","random",19,4493,4494,1871,2675937952
90,"okasaki","random",19,4486,4487,1876,2671418048
91,"okasaki","random",19,4491,4491,1868,2676965024
92,"okasaki","random",19,4479,4479,1866,2681234224
93,"okasaki","random",19,4473,4474,1866,2674684560
94,"okasaki","random",19,4472,4473,1863,2676550400
95,"okasaki","random",19,4561,4562,1879,2677970784
96,"okasaki","random",19,4515,4516,1868,2680608432
97,"okasaki","random",19,4650,4651,1906,2675334208
98,"okasaki","random",19,4492,4492,1876,2677290576
99,"okasaki","random",19,4498,4498,1875,2682820592
0,"okasaki","random",20,11475,11476,5232,5627641152
1,"okasaki","random",20,11415,11416,5218,5622046400
2,"okasaki","random",20,11575,11576,5279,5607000112
3,"okasaki","random",20,11490,11491,5243,5619560608
4,"okasaki","random",20,11407,11409,5217,5621254336
5,"okasaki","random",20,11606,11608,5276,5611661776
6,"okasaki","random",20,11594,11596,5285,5615542176
7,"okasaki","random",20,11285,11287,5099,5632067792
8,"okasaki","random",20,11285,11287,5103,5629145424
9,"okasaki","random",20,11361,11363,5207,5617237520
10,"okasaki","random",20,11429,11431,5209,5624532464
11,"okasaki","random",20,11496,11498,5241,5620974368
12,"okasaki","random",20,11366,11368,5199,5628150496
13,"okasaki","random",20,11461,11463,5233,5609246320
14,"okasaki","random",20,11373,11375,5218,5624267472
15,"okasaki","random",20,11420,11422,5209,5619139104
16,"okasaki","random",20,11390,11391,5223,5620769936
17,"okasaki","random",20,11688,11690,5304,5620231776
18,"okasaki","random",20,11483,11484,5258,5617287920
19,"okasaki","random",20,11594,11596,5289,5616153200
20,"okasaki","random",20,11439,11441,5217,5612638272
21,"okasaki","random",20,11595,11597,5262,5617505152
22,"okasaki","random",20,11416,11418,5227,5617615696
23,"okasaki","random",20,11408,11410,5234,5616585856
24,"okasaki","random",20,11453,11455,5245,5626438848
25,"okasaki","random",20,11408,11410,5221,5626260832
26,"okasaki","random",20,11390,11392,5210,5621888992
27,"okasaki","random",20,11419,11421,5232,5615004432
28,"okasaki","random",20,11343,11344,5113,5632099136
29,"okasaki","random",20,11410,11412,5224,5623953616
30,"okasaki","random",20,11362,11364,5204,5620099392
31,"okasaki","random",20,11330,11332,5190,5615026592
32,"okasaki","random",20,11403,11405,5224,5621031248
33,"okasaki","random",20,11346,11348,5192,5621536192
34,"okasaki","random",20,11487,11489,5265,5617318800
35,"okasaki","random",20,11449,11451,5248,5615496704
36,"okasaki","random",20,11408,11409,5223,5620756656
37,"okasaki","random",20,11335,11336,5196,5612032048
38,"okasaki","random",20,11404,11406,5197,5628675440
39,"okasaki","random",20,11501,11503,5234,5627830144
40,"okasaki","random",20,11552,11553,5271,5614025040
41,"okasaki","random",20,11440,11441,5227,5625800864
42,"okasaki","random",20,11337,11338,5117,5629346176
43,"okasaki","random",20,11461,11463,5244,5614637184
44,"okasaki","random",20,11560,11562,5267,5614707088
45,"okasaki","random",20,11297,11299,5100,5633506048
46,"okasaki","random",20,11577,11579,5267,5612562848
47,"okasaki","random",20,11479,11481,5258,5617125616
48,"okasaki","random",20,11562,11563,5266,5621969040
49,"okasaki","random",20,11453,11455,5241,5621009648
50,"okasaki","random",20,11438,11439,5239,5628468816
51,"okasaki","random",20,11494,11495,5255,5626991168
52,"okasaki","random",20,11242,11243,5076,5631216112
53,"okasaki","random",20,11363,11365,5201,5627605392
54,"okasaki","random",20,11304,11305,5173,5622639776
55,"okasaki","random",20,11367,11369,5198,5618018240
56,"okasaki","random",20,11472,11474,5242,5614307616
57,"okasaki","random",20,11456,11458,5255,5615529664
58,"okasaki","random",20,11502,11503,5267,5616105936
59,"okasaki","random",20,11513,11515,5257,5622455920
60,"okasaki","random",20,11272,11273,5095,5631530528
61,"okasaki","random",20,11461,11462,5250,5608666560
62,"okasaki","random",20,11544,11546,5276,5623298608
63,"okasaki","random",20,11468,11470,5251,5621803008
64,"okasaki","random",20,11551,11552,5268,5614059792
65,"okasaki","random",20,11350,11352,5188,5629324256
66,"okasaki","random",20,11507,11508,5183,5640676624
67,"okasaki","random",20,11330,11332,5184,5616573632
68,"okasaki","random",20,11452,11454,5229,5615872992
69,"okasaki","random",20,11476,11478,5221,5627044592
70,"okasaki","random",20,11349,11351,5194,5627406608
71,"okasaki","random",20,11359,11361,5202,5623937856
72,"okasaki","random",20,11455,11457,5232,5618051696
73,"okasaki","random",20,11458,11460,5227,5620174400
74,"okasaki","random",20,11290,11292,5123,5635354992
75,"okasaki","random",20,11276,11277,5107,5638814352
76,"okasaki","random",20,11252,11253,5067,5630972656
77,"okasaki","random",20,11609,11611,5256,5624430912
78,"okasaki","random",20,11389,11391,5182,5626541712
79,"okasaki","random",20,11478,11479,5249,5620322784
80,"okasaki","random",20,11386,11388,5218,5620451152
81,"okasaki","random",20,11275,11277,5108,5629631168
82,"okasaki","random",20,11373,11375,5213,5614821088
83,"okasaki","random",20,11610,11612,5282,5613673600
84,"okasaki","random",20,11455,11457,5178,5636418960
85,"okasaki","random",20,11417,11419,5224,5621334272
86,"okasaki","random",20,11593,11595,5280,5612150400
87,"okasaki","random",20,11463,11464,5147,5632921152
88,"okasaki","random",20,11427,11429,5204,5626797664
89,"okasaki","random",20,11385,11386,5214,5614631232
90,"okasaki","random",20,11418,11420,5212,5619292336
91,"okasaki","random",20,11412,11414,5219,5622442848
92,"okasaki","random",20,11587,11588,5283,5617662576
93,"okasaki","random",20,11480,11482,5251,5616796768
94,"okasaki","random",20,11449,11450,5226,5621354656
95,"okasaki","random",20,11381,11383,5219,5605264496
96,"okasaki","random",20,11598,11600,5281,5619540416
97,"okasaki","random",20,11475,11476,5243,5606597472
98,"okasaki","random",20,11352,11354,5187,5625447424
99,"okasaki","random",20,11219,11221,5067,5630522800
0,"monadic","random",16,182,182,49,285772032
1,"monadic","random",16,182,182,50,285671328
2,"monadic","random",16,182,182,49,286258848
3,"monadic","random",16,184,184,50,286182448
4,"monadic","random",16,184,184,51,285101216
5,"monadic","random",16,182,182,49,286406912
6,"monadic","random",16,181,181,49,285267648
7,"monadic","random",16,182,182,50,285710896
8,"monadic","random",16,182,182,50,285496832
9,"monadic","random",16,182,182,50,285013088
10,"monadic","random",16,183,183,50,285400016
11,"monadic","random",16,182,182,50,285679440
12,"monadic","random",16,182,182,49,286514720
13,"monadic","random",16,184,184,51,285068144
14,"monadic","random",16,183,183,51,284766400
15,"monadic","random",16,182,182,50,285193904
16,"monadic","random",16,182,182,49,284589200
17,"monadic","random",16,182,182,50,285178752
18,"monadic","random",16,180,180,48,284514640
19,"monadic","random",16,181,181,49,285914208
20,"monadic","random",16,183,183,49,286183472
21,"monadic","random",16,184,184,50,285720336
22,"monadic","random",16,183,183,51,285082816
23,"monadic","random",16,182,182,50,285497456
24,"monadic","random",16,182,182,49,286104720
25,"monadic","random",16,184,184,50,285047440
26,"monadic","random",16,181,181,48,284516288
27,"monadic","random",16,183,183,50,285573840
28,"monadic","random",16,183,183,50,285286256
29,"monadic","random",16,186,186,51,284955200
30,"monadic","random",16,183,183,50,285926848
31,"monadic","random",16,183,183,50,285324992
32,"monadic","random",16,180,180,48,284876112
33,"monadic","random",16,183,183,50,285482272
34,"monadic","random",16,183,183,50,284811312
35,"monadic","random",16,182,182,48,284876240
36,"monadic","random",16,183,183,50,285083728
37,"monadic","random",16,183,183,50,285492992
38,"monadic","random",16,185,185,51,285216880
39,"monadic","random",16,181,181,49,285993296
40,"monadic","random",16,182,182,50,285584416
41,"monadic","random",16,183,183,50,285270416
42,"monadic","random",16,183,183,50,285681088
43,"monadic","random",16,183,183,50,285368624
44,"monadic","random",16,184,184,51,285127136
45,"monadic","random",16,183,183,50,285041680
46,"monadic","random",16,184,184,50,285153312
47,"monadic","random",16,184,184,50,285683088
48,"monadic","random",16,183,183,50,285196576
49,"monadic","random",16,183,183,50,285874352
50,"monadic","random",16,183,183,50,285026720
51,"monadic","random",16,182,182,49,286596464
52,"monadic","random",16,180,181,48,284535424
53,"monadic","random",16,182,182,49,286619952
54,"monadic","random",16,182,182,49,285924432
55,"monadic","random",16,184,184,50,285595920
56,"monadic","random",16,183,183,50,285192624
57,"monadic","random",16,183,183,50,285376848
58,"monadic","random",16,182,182,50,285499952
59,"monadic","random",16,183,183,50,285387600
60,"monadic","random",16,181,181,49,286648864
61,"monadic","random",16,183,183,50,285608480
62,"monadic","random",16,181,181,49,285896560
63,"monadic","random",16,184,184,50,285749008
64,"monadic","random",16,183,183,49,285675248
65,"monadic","random",16,183,183,50,285252256
66,"monadic","random",16,183,183,50,285261424
67,"monadic","random",16,182,182,50,285433792
68,"monadic","random",16,184,184,50,285821616
69,"monadic","random",16,183,183,50,285223616
70,"monadic","random",16,184,184,50,285330848
71,"monadic","random",16,185,185,50,285245728
72,"monadic","random",16,183,183,50,285584160
73,"monadic","random",16,183,183,49,285904848
74,"monadic","random",16,182,182,49,285682848
75,"monadic","random",16,183,183,50,285432880
76,"monadic","random",16,182,182,50,285774848
77,"monadic","random",16,183,183,50,285920560
78,"monadic","random",16,188,188,51,285790048
79,"monadic","random",16,183,183,50,285763184
80,"monadic","random",16,182,182,49,284971152
81,"monadic","random",16,184,184,50,285215616
82,"monadic","random",16,182,182,50,285363104
83,"monadic","random",16,182,182,50,285431040
84,"monadic","random",16,183,183,50,285573424
85,"monadic","random",16,183,183,50,286253840
